"Profile_key","Age","T_stage","N_stage","M_stage","Surgery","Radiation","Risk_36m","Risk_60m","Risk_120m","Linear_predictor"
"<55|T4|N0|M1|No|No","<55","T4","N0","M1","No","No",0.264943871632861,0.392692401616911,0.613761332345302,3.34521348316037
"55-69|T4|N0|M1|No|No","55-69","T4","N0","M1","No","No",0.384871573326912,0.544931847123448,0.777265987520035,3.80178857805403
">=70|T4|N0|M1|No|No",">=70","T4","N0","M1","No","No",0.695705166456169,0.85451462802281,0.974701667996755,4.69724128714209
"<55|T1|N1|M1|No|No","<55","T1","N1","M1","No","No",0.190297286764889,0.289659548105101,0.47919526273801,2.96801158832751
"55-69|T1|N1|M1|No|No","55-69","T1","N1","M1","No","No",0.283398900886075,0.417204107581555,0.642951990703291,3.42458668322117
">=70|T1|N1|M1|No|No",">=70","T1","N1","M1","No","No",0.557763082979774,0.733387661373485,0.919670293639363,4.32003939230923
"<55|T2|N1|M1|No|No","<55","T2","N1","M1","No","No",0.271696786164097,0.4017063511434,0.624622757745908,3.37475697154253
"55-69|T2|N1|M1|No|No","55-69","T2","N1","M1","No","No",0.393769056625499,0.555548752258633,0.787073152341194,3.83133206643619
">=70|T2|N1|M1|No|No",">=70","T2","N1","M1","No","No",0.706369228496978,0.862685274317497,0.977342612480223,4.72678477552425
"<55|T3|N1|M1|No|No","<55","T3","N1","M1","No","No",0.439336049456546,0.608401580360353,0.832755866601153,3.97640532758233
"55-69|T3|N1|M1|No|No","55-69","T3","N1","M1","No","No",0.598867906139201,0.772367067570678,0.940579445142642,4.43298042247599
">=70|T3|N1|M1|No|No",">=70","T3","N1","M1","No","No",0.893175356576228,0.973317523309021,0.999004473760324,5.32843313156405
"<55|T4|N1|M1|No|No","<55","T4","N1","M1","No","No",0.609073018823715,0.781675798287526,0.945128364607917,4.46080108081995
"55-69|T4|N1|M1|No|No","55-69","T4","N1","M1","No","No",0.772982914627444,0.90949596913449,0.989770332175938,4.91737617571361
">=70|T4|N1|M1|No|No",">=70","T4","N1","M1","No","No",0.97349392496852,0.997210927112252,0.999986595288706,5.81282888480166
"<55|T1|N0|M0|Yes|No","<55","T1","N0","M0","Yes","No",0.00392066705175032,0.00634464774323651,0.012067462003378,-1.01603873627615
"55-69|T1|N0|M0|Yes|No","55-69","T1","N0","M0","Yes","No",0.00618236737056088,0.00999762592600417,0.0189837679391938,-0.559463641382494
">=70|T1|N0|M0|Yes|No",">=70","T1","N0","M0","Yes","No",0.0150694674988759,0.0243016546570667,0.0458434723159591,0.335989067705561
"<55|T2|N0|M0|Yes|No","<55","T2","N0","M0","Yes","No",0.00588273699264552,0.00951397485150907,0.0180693829120859,-0.609293353061137
"55-69|T2|N0|M0|Yes|No","55-69","T2","N0","M0","Yes","No",0.00927100989017871,0.0149779135279824,0.0283758637345344,-0.152718258167478
">=70|T2|N0|M0|Yes|No",">=70","T2","N0","M0","Yes","No",0.0225473488854141,0.0362756748148744,0.0680550166184856,0.742734450920578
"<55|T3|N0|M0|Yes|No","<55","T3","N0","M0","Yes","No",0.0107106620960794,0.017295997002013,0.0327327689123642,-0.00764499702133681
"55-69|T3|N0|M0|Yes|No","55-69","T3","N0","M0","Yes","No",0.0168559951249019,0.0271674914994788,0.0511821907198196,0.448930097872322
">=70|T3|N0|M0|Yes|No",">=70","T3","N0","M0","Yes","No",0.0407684175439375,0.0652146529513165,0.120707371565127,1.34438280696038
"<55|T4|N0|M0|Yes|No","<55","T4","N0","M0","Yes","No",0.0173273805899848,0.027923120673939,0.0525874650511728,0.476750756216278
"55-69|T4|N0|M0|Yes|No","55-69","T4","N0","M0","Yes","No",0.0272165373165896,0.0437235166325888,0.0817449928430269,0.933325851109937
">=70|T4|N0|M0|Yes|No",">=70","T4","N0","M0","Yes","No",0.0653300381518008,0.103686932018045,0.188445429639682,1.82877856019799
